,name,text,time
160,asyaghi6,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:14 +0000 2020
161,maloooka_305,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:15 +0000 2020
162,AjmalRazi,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:17 +0000 2020
163,esraa_30,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:18 +0000 2020
164,Ahlam36101,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:19 +0000 2020
165,Hsjsjkkk2,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:19 +0000 2020
166,krkr501,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:20 +0000 2020
167,fatimaalduaij,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:20 +0000 2020
168,maloooka_305,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:21 +0000 2020
169,kG3757,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:23 +0000 2020
170,IBRAHIM0XZ,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:24 +0000 2020
171,Sare_9000,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:26 +0000 2020
172,fatimaalduaij,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:28 +0000 2020
173,ffilbnm,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:28 +0000 2020
174,gksa2016_k,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:28 +0000 2020
175,YoussefAlsdoon,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:30 +0000 2020
176,omkiaani1,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:32 +0000 2020
177,phl1_,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:33 +0000 2020
178,Suliman1927,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:33 +0000 2020
179,Nn0tt,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:17:34 +0000 2020
180,as1433as21,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:35 +0000 2020
181,chosuk4,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:17:36 +0000 2020
